fiscal_year,period,period_end,ROA_%,ROIC_%,ROE_%,Common_Equity_ROE_%,Gross_Margin_%,SGA_%,EBITDA_Margin_%,EBITA_Margin_%,EBIT_Margin_%,Continuing_Operations_Income_Margin_%,Net_Margin_%,Normalized_Net_Margin_%,FCF_Levered_Margin_%,FCF_Unlevered_Margin_%,CFO_Current_Liabilities_%,FCFonCE_%,Asset_Turnover,Fixed_Asset_Turnover,AR_Turnover,Inventory_Turnover,Working_Capital_Turnover,CCC,DSO,DIO,DPO,Current_Ratio,Quick_Ratio,Debt_Equity_%,Debt_Total_Capital_%,Liabilities_Assets_%,Debt_EBITDA,Net_Debt_EBITDA,Net_Debt_EBITDA_Capex,EBIT_Interest,EBITDA_Interest,EBITDA_Capex_Interest,FFO_Interest,FFO_Debt,P_E,Annual_EPS,EPS_Growth_5Y_%,P_E_Growth_5Y_%,Price,52W_High,Diff_vs_52W_High_%,52W_Low,Diff_vs_52W_Low_%,Dividend_Yield_%,Payout_Ratio_%,null_reason
2023,Q1,2023-03-31,15.306546351364853,27.075048440928974,59.016260492275244,59.016260492275244,58.43298779647523,29.502825031772034,28.30390910900488,,25.44366013872514,,22.2848305746528,,20.014086879296887,,64.6529948195402,51.83408018400287,0.6868594445934363,6.634059627203007,16.153598812762798,6.059598214285713,18.53789384047687,-127.87094998575148,22.595584069576937,60.235016760599706,210.70155081592813,1.1508327268056686,0.9484522841118294,146.5083078875362,59.433415913258905,74.1109194694263,1.9986475520692455,1.2883959967541252,1.4473412336675786,11.444214876033058,12.730716253443527,11.332644628099173,,,,,,,62.02999877929688,67.19999694824219,-7.693450005551739,54.02000045776367,14.82783830739865,2.8695792923247527,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2023,Q2,2023-06-30,15.517206167670786,27.78951849234711,59.324614483700955,59.324614483700955,58.716417005276256,29.39232215416339,28.055067014373225,,25.285038510522167,,23.039602159015107,,20.540966705076112,,64.88492639436036,52.08165148195133,0.6735014806494434,6.746036616549042,15.394094993581511,5.8100928198015565,18.97468354430378,-128.4544890963949,23.710390260173455,62.821715817694376,214.98659517426273,1.1441426498030274,0.9514824797843666,141.45619497943335,58.584620283394365,73.57906069716421,1.9885970600951142,1.2413532209252052,1.4001828710758912,10.243857493857494,11.366093366093367,10.076781326781326,,,,,,,60.220001220703125,65.47000122070312,-8.018939822991527,54.02000045776367,11.477231970382931,2.989040125394709,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2023,Q3,2023-09-29,15.770733648244692,28.304491763121142,59.069891856777105,59.069891856777105,59.12994046016217,29.58142596415642,27.92837267749754,,25.220656434192023,,23.124794303324055,,21.28624001436137,,67.29075341062723,54.05128205128206,0.6819837375149209,7.200904879887968,17.90917615539183,6.140705776579007,19.330827067669162,-142.7604917679933,20.380613649283426,59.43942166910688,222.5805270863836,1.141669056495555,0.9674710147896269,137.72459639126308,57.934516866141486,73.02158273381295,1.9420429589158494,1.2401842626814503,1.4055120500212466,9.376529477196884,10.383203559510568,9.161846496106786,,,,,,,55.97999954223633,64.98999786376953,-13.863669207098212,54.02000045776367,3.6282840945273733,3.251161155560262,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2023,FY,2023-12-31,11.250301891151176,18.13620199855074,42.81660871997762,42.81660871997762,59.52266468505486,30.537220789439175,27.18669405953578,,24.721335839489445,,23.41653188792237,,21.30305547055995,,49.208773492851385,37.57372499132647,0.4804427036846471,4.796770980762175,13.267797593156443,4.278618459050478,14.474533375514087,-194.96831903117726,27.51021768588539,85.30791036717065,307.7864470842333,1.1341054685842773,0.9464172075855924,144.5857908330442,59.114550498045645,73.44912643419342,3.0152745397539995,2.1578101133531633,2.5352791158968544,7.407334643091029,8.14603798297315,6.933202357563851,,,23.858299718694646,2.47,6.651946084640259,-4.8784289129567675,58.93000030517578,64.98999786376953,-9.32450801321238,51.54999923706055,14.316200150027498,3.122348532956641,74.49392712550606,CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE
2023,Q4,2023-12-31,16.763535623025284,27.443112093638756,62.633451957295385,62.633451957295385,59.611969842517375,29.8052571827788,27.325124443280064,,24.858090996419527,,23.82324687800192,,20.02881844380403,,68.84731237537652,53.04729964149415,0.7036629267568274,7.593501326259947,19.900362056480812,6.396726602120793,21.735526732046836,-137.17395904236957,18.341374843536226,57.06043461025622,212.57576849616203,1.1341054685842773,0.9464172075855924,144.5857908330442,59.114550498045645,73.44912643419342,1.9978161286886118,1.4296899968040906,1.645980253878702,7.5138583369995615,8.259568851737793,7.174219093708757,,,,,,,58.93000030517578,64.98999786376953,-9.32450801321238,51.54999923706055,14.316200150027498,3.122348532956641,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2024,Q1,2024-03-29,16.680281082726605,25.499252909530718,62.7763987015467,62.7763987015467,59.91800191232289,29.90757106018022,25.38753513168951,,22.96670819691131,,23.814214933503322,,20.33291803088691,,58.527295810410486,53.104544250633765,0.7004338009589284,7.445367274296191,18.036582179252676,5.896004262120404,62.41048824593139,-148.13406244306853,20.236649957986845,61.90633245382587,230.27704485488124,1.039004090844971,0.864049936521371,138.09073366377845,57.99920540325785,73.40932871860915,2.0826295366354715,1.3887811002054327,1.626478647330081,6.9439334209373635,7.675865089794131,6.554095488392467,,,,,,,61.18000030517578,64.98999786376953,-5.862436811553948,51.54999923706055,18.680894686011925,3.048381808919708,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2024,Q2,2024-06-28,16.253726432495487,25.105624488412303,62.36180712291037,62.36180712291037,60.28782574873589,30.067562700779348,25.560021320425836,,23.170116830171285,,23.484160940403648,,18.82535978218592,,53.69237603800021,50.547325262058564,0.6921144201720889,7.3792920165833955,15.796336329502788,5.669888934594818,29.716181506849335,-186.15898369147146,23.106623737701135,64.37515870424782,273.6407661334204,1.0798277688548679,0.9170625021358028,169.48516613159012,62.892206114539974,74.45406217268432,2.4695372823085155,1.6071126641492417,1.8885356646135503,6.911903738719381,7.624838848302536,6.488611946712506,,,,,,,63.650001525878906,64.36000061035156,-1.103168237631209,51.54999923706055,23.472361722402084,2.9693636365924694,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2024,Q3,2024-09-27,15.484797655542057,22.423369350966613,61.343109736304434,61.343109736304434,60.22101041576503,30.065783779104994,24.468392048241437,,22.106812083441532,,23.17291324042817,,10.712946132317722,,35.538520774265805,28.00362018251753,0.6682283532882178,7.156514557092711,15.793574846206427,5.819141078400339,40.324607329842905,-216.82514519870142,23.110663896823333,62.72403350982808,302.6598426053528,1.060170114459729,0.895166089117575,174.46262915755338,63.56516721167321,75.04564018594847,2.727669359117977,1.8005424208478276,2.14549669804693,6.42785234899329,7.114513422818792,5.970637583892617,,,,,,,71.79000091552734,73.52999877929688,-2.3663782029865246,51.54999923706055,39.26285543747548,2.667502403647146,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2024,FY,2024-12-31,10.724734176704397,14.706579465179793,41.856802567080734,41.856802567080734,61.06330082233696,30.985316929092033,23.51628737170906,,21.232018019166617,,22.589830220352308,,10.074159070143004,,26.951562438116362,19.07386546507885,0.47475939713092424,4.817134960847535,13.486459378134404,4.004370629370629,62.915775401069425,-252.2532425781128,27.064182656552134,91.1504038419559,370.46782907662083,1.0296249356410154,0.8423699948512812,183.02220791760539,64.66708364132597,75.27971436811903,4.110599078341013,2.9765067317249483,3.658891480617572,6.033816425120774,6.682971014492754,5.436594202898551,,,25.30894240712732,2.46,6.565448042104394,-3.7488524123528433,62.2599983215332,73.52999877929688,-15.32707826038596,57.93000030517578,7.47453477221984,3.1159653907813114,78.86178861788618,CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE
2024,Q4,2024-12-31,15.684548993061433,20.88544494598079,63.1408883871219,63.1408883871219,61.29885187489397,30.37441321192241,23.147729200837063,,20.876930037893786,,22.932809230247166,,11.399242124314236,,43.241316487781695,32.4348245896363,0.6839349176800521,7.0138344820746745,18.12971033068444,5.797712349078584,94.55080213903727,-220.50246235974055,20.132698942367515,62.95586569727085,303.5910269993789,1.0296249356410154,0.8423699948512812,183.02220791760539,64.66708364132597,75.27971436811903,2.7788161993769465,2.0121556410726282,2.437365889752127,6.011807817589576,6.66571661237785,5.50285016286645,,,,,,,62.2599983215332,73.52999877929688,-15.32707826038596,57.93000030517578,7.47453477221984,3.1159653907813114,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2025,Q1,2025-03-28,16.188663387140632,21.524074402181316,64.13098828782951,64.13098828782951,61.307102461978936,30.282199197766225,25.36249344464445,,23.079103652573245,,23.20524995393534,,3.39177639505053,,21.790994623655916,9.132890619036717,0.6976293476379997,6.805536799459824,18.421148825065274,5.554221770091556,29.769198312236274,-169.91923289744076,19.814182245971114,65.7157771346936,255.44919227810547,1.099546370967742,0.8852486559139785,187.4322570796122,65.20919363190949,74.2400408981871,2.744551246227786,2.174080697440483,2.5765282469037687,6.616416091019912,7.271028037383178,6.135310849248273,,,,,,,70.37000274658203,73.52999877929688,-4.2975602953560355,57.93000030517578,21.47419709282272,2.79238300881755,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2025,Q2,2025-06-27,17.249295070590005,22.110804176460412,64.8730538266377,64.8730538266377,61.53976670201485,30.096854012018387,27.64510427712973,,25.353128313891837,,25.126899964651823,,3.6747967479674792,,24.6718920889537,9.092181213923384,0.6864871947934714,6.667452274334197,17.12677079549582,5.341908876669285,15.160771704180055,-135.31722742087754,21.31166489925769,68.32763501341863,224.95652733355388,1.2125865840320817,0.9809970834852352,172.97883505334966,63.36712332278196,72.60214888865458,2.5289484451718494,1.9336640752864156,2.2588874947720616,7.206993569131833,7.858520900321543,6.72709003215434,,,,,,,70.33000183105469,74.37999725341797,-5.445006146699171,60.619998931884766,16.017820967104427,2.82951791296741,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2025,Q3,2025-09-26,17.700520016351522,24.362341407895887,62.23759860943976,62.23759860943976,61.67736870145531,29.818018674817043,29.47592743179206,,27.20326388694165,,26.104085466730226,,12.465300171045625,,52.07342548557714,28.45393157743144,0.6780747036287064,6.57806880014756,17.58097116095637,5.530959125859975,15.022325189553491,-145.07395769369964,20.76108291506604,65.99217092266043,231.82721153142612,1.2110316014045068,0.9975998933285924,151.74576759368898,60.27738581035557,70.53420717619878,2.255327245053272,1.5590277777777777,1.801033023792516,7.906682966585166,8.56723716381418,7.416055419722902,,,,,,,65.66999816894531,74.37999725341797,-11.710136335172308,60.619998931884766,8.330582853910883,3.06837224940395,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
2025,FY,2025-12-31,12.764589876561244,18.57902004791009,45.96931170539237,45.96931170539237,61.62574831563797,30.289313948394902,30.896310047767045,,28.70611793663044,,27.339855238730937,,11.046911829123298,,34.81039424839059,16.463054493456436,0.4668857887176491,4.814320144607351,14.512184047222645,4.019884190975637,4.910478336576872,-246.38157892029082,25.151279697962075,90.79863564711636,362.33149426536926,1.458766035430666,1.2508340773459894,136.43569896484195,57.705202540133314,69.30907495038926,2.963137996219282,2.1392114501755337,2.4949606299212603,8.320435308343411,8.955259975816203,7.678355501813785,,,22.99671173095703,3.04,11.17422496891589,-5.575593236173992,69.91000366210938,74.37999725341797,-6.009671627277697,60.619998931884766,15.324983328790978,2.9180373238997017,67.10526315789474,CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE
2025,Q4,2025-12-31,19.20412024983283,27.690290034579718,63.85454774820235,63.85454774820235,61.910481111654214,29.641784791564834,32.53543746945045,,30.306542839187205,,28.275958382794496,,4.4047203407583275,,28.274047272214652,9.804470142062236,0.6791677930010767,6.9807457957592005,20.50544100801833,5.91178064376287,7.3343234661476995,-137.96119418321194,17.80015362055722,61.74112708073623,217.5024748845054,1.458766035430666,1.2508340773459894,136.43569896484195,57.705202540133314,69.30907495038926,1.8839335536764392,1.3600892818817876,1.5506508759909958,8.72928399034594,9.371279163314561,8.219629927594529,,,,,,,69.91000366210938,74.37999725341797,-6.009671627277697,60.619998931884766,15.324983328790978,2.9180373238997017,,ANNUAL_ONLY_FIELDS_NOT_APPLICABLE;CONTRACT_B_EBITA;CONTRACT_B_CONTINUING_OPERATIONS;CONTRACT_B_NORMALIZED_NET_MARGIN;CONTRACT_B_FCF_UNLEVERED;FFO_INPUT_NOT_AVAILABLE;PE_5Y_REQUIRES_FY2020_PRICE_AND_EPS
